corp_code,corp_name,stock_code,modify_date,market
01685251,컨텍,451760,20240226,KOSDAQ
00642897,브레인즈컴퍼니,099390,20230224,KOSDAQ
00533191,비보존 제약,082800,20230703,KOSDAQ
00913689,세경하이테크,148150,20230703,KOSDAQ
01080687,아우딘퓨쳐스,227610,20230703,KOSDAQ
01237434,플리토,300080,20230901,KOSDAQ
00266961,NAVER,035420,20240311,KOSPI
01188378,시스웍,269620,20240312,KOSDAQ
00578538,티피씨글로벌,130740,20240227,KOSDAQ
00531865,유니테크노,241690,20230503,KOSDAQ
00122694,범양건영,002410,20230328,KOSPI
00141556,오로라,039830,20230328,KOSDAQ
00405719,아이크래프트,052460,20230328,KOSDAQ
00602279,그린플러스,186230,20230328,KOSDAQ
00624749,에스피시스템스,317830,20230328,KOSDAQ
01264872,이노뎁,303530,20240223,KOSDAQ
