stock_code,current_price,low_52w,high_52w,avg_52w,pct_from_avg_52w,range_position,bottom_dwell_ratio,corp_name,market_cap,updated_at
004090,10200.0,9690.0,33575.0,14354.78,-28.94,2.14,246.49,한국석유공업,129480024000.0,2026-08-03T22:19:26
0041B0,2000.0,1981.0,2700.0,2048.29,-2.36,2.64,36.29,교보18호스팩,10080000000.0,2026-08-03T22:19:26
0041J0,1992.0,1971.0,5040.0,2007.53,-0.77,0.68,155.71,엘에스스팩1호,8187120000.0,2026-08-03T22:19:26
0041L0,1998.0,1975.0,3075.0,2004.83,-0.34,2.09,55.7,하나35호스팩,12047940000.0,2026-08-03T22:19:26
004100,2275.0,1951.0,3790.0,2537.63,-10.35,17.62,94.26,태양금속공업,83492500000.0,2026-08-03T22:19:26
004150,3145.0,2645.0,4695.0,3266.71,-3.73,24.39,77.5,한솔홀딩스,129028719900.0,2026-08-03T22:19:26
004140,1760.0,1617.0,4120.0,2672.86,-34.15,5.71,154.79,동방,84430308160.0,2026-08-03T22:19:26
004170,405500.0,160800.0,792000.0,324013.6,25.15,38.77,392.54,신세계,3830020895500.0,2026-08-03T22:19:26
004250,2690.0,2415.0,4670.0,3834.56,-29.85,12.2,93.37,엔피씨,98776800000.0,2026-08-03T22:19:26
004270,6130.0,4897.0,9858.0,6869.37,-10.76,24.85,101.31,남성,22198054080.0,2026-08-03T22:19:26
004310,5410.0,3380.0,15960.0,6513.11,-16.94,16.14,372.19,현대약품,173120000000.0,2026-08-03T22:19:26
004360,12890.0,11700.0,17110.0,14250.81,-9.55,22.0,46.24,세방,246400122670.0,2026-08-03T22:19:26
004370,375000.0,319000.0,579000.0,403463.24,-7.05,21.54,81.5,농심,2280990750000.0,2026-08-03T22:19:26
004380,8110.0,6760.0,14650.0,12149.78,-33.25,17.11,116.72,삼익THK,167877000000.0,2026-08-03T22:19:26
004410,1036.0,870.0,2830.0,1506.96,-31.25,8.47,225.29,서울식품공업,40875393468.0,2026-08-03T22:19:26
004430,11200.0,8470.0,16730.0,10329.45,8.43,33.05,97.52,송원산업,268800000000.0,2026-08-03T22:19:26
004450,24550.0,24100.0,41700.0,30508.82,-19.53,2.56,73.03,삼화왕관,52890004450.0,2026-08-03T22:19:26
004440,4735.0,3990.0,11070.0,5541.95,-14.56,10.52,177.44,삼일씨엔에스,60285769045.0,2026-08-03T22:19:26
004490,50800.0,46900.0,77700.0,62402.94,-18.59,12.66,65.67,세방전지,704088000000.0,2026-08-03T22:19:26
0044K0,1986.0,1970.0,2190.0,2012.87,-1.33,7.27,11.17,삼성스팩10호,14934720000.0,2026-08-03T22:19:26
004690,115800.0,107600.0,176800.0,132147.06,-12.37,11.85,64.31,삼천리,419980776600.0,2026-08-03T22:19:26
004560,10940.0,9250.0,25500.0,13241.21,-17.38,10.4,175.68,현대비앤지스틸,164962192340.0,2026-08-03T22:19:26
004720,3330.0,2590.0,5490.0,3969.25,-16.1,25.52,111.97,팜젠사이언스,75439035450.0,2026-08-03T22:19:26
004540,1120.0,1060.0,2410.0,1902.44,-41.13,4.44,127.36,깨끗한나라,41709576160.0,2026-08-03T22:19:26
004770,1620.0,1418.0,2045.0,1645.61,-1.56,32.22,44.22,써니전자,57522049560.0,2026-08-03T22:19:26
004590,5040.0,4375.0,8590.0,5279.3,-4.53,15.78,96.34,한국가구,75600000000.0,2026-08-03T22:19:26
004650,9300.0,8770.0,13460.0,9926.91,-6.32,11.3,53.48,창해에탄올,85475230500.0,2026-08-03T22:19:26
004700,63000.0,57600.0,87600.0,66453.31,-5.2,18.0,52.08,조광피혁,418895694000.0,2026-08-03T22:19:26
